Host City,Year,Gold,Silver,Bronze,Total
Tokyo,2020,1,2,4,7
PyeongChang,2018,0,0,0,0
Rio,2016,0,1,1,2
Sochi,2014,0,0,0,0
London,2012,0,2,4,6
Vancouver,2010,0,0,0,0
Beijing,2008,1,0,2,3
Torino,2006,0,0,0,0
Athens,2004,0,1,0,1
Salt Lake City,2002,0,0,0,0
Sydney,2000,0,0,1,1
Nagano,1998,0,0,0,0
Atlanta,1996,0,0,1,1
Barcelona,1992,0,0,0,0
Albertville,1992,0,0,0,0
Seoul,1988,0,0,0,0
Calgary,1988,0,0,0,0
Los Angeles,1984,0,0,0,0
Moscow,1980,1,0,0,1
Montreal,1976,0,0,0,0
Munich,1972,0,0,1,1
Mexico City,1968,0,0,1,1
Grenoble,1968,0,0,0,0
Tokyo,1964,1,0,0,1
Innsbruck,1964,0,0,0,0
Rome,1960,0,1,0,1
Melbourne,1956,1,0,0,1
Helsinki,1952,1,0,1,2
London,1948,1,0,0,1
Berlin,1936,1,0,0,1
Los Angeles,1932,1,0,0,1
Amsterdam,1928,1,0,0,1
Paris,1924,0,0,0,0
Antwerp,1920,0,0,0,0
Paris,1900,0,2,0,2
